Seed:  7078530847772186419
Testing 1 Robots
Solution time: 0.09433579444885254s

Testing 2 Robots
Solution time: 0.08763742446899414s

Testing 3 Robots
Solution time: 0.09450268745422363s

Testing 4 Robots
Solution time: 0.13226652145385742s

Testing 5 Robots
Solution time: 0.18998980522155762s

Testing 6 Robots
Solution time: 0.19708538055419922s

Testing 7 Robots
Solution time: 0.41156816482543945s

Testing 8 Robots
Solution time: 0.3277113437652588s

Testing 9 Robots
Solution time: 0.3919491767883301s

Testing 10 Robots
Solution time: 0.3833613395690918s

Testing 11 Robots
Solution time: 0.5691928863525391s

Testing 12 Robots
Solution time: 0.9389200210571289s

Testing 13 Robots
Solution time: 0.565596342086792s

Testing 14 Robots
Solution time: 0.8254458904266357s

Testing 15 Robots
Solution time: 0.8612229824066162s

Testing 16 Robots
Solution time: 1.0089402198791504s

Testing 17 Robots
Solution time: 1.4300603866577148s

Testing 18 Robots
Solution time: 0.9140849113464355s

Testing 19 Robots
Solution time: 1.3001694679260254s

Testing 20 Robots
Solution time: 1.2069923877716064s

Testing 21 Robots
Solution time: 1.2091286182403564s

Testing 22 Robots
Solution time: 1.488377332687378s

Testing 23 Robots
Solution time: 1.245636224746704s

Testing 24 Robots
Solution time: 1.1867096424102783s

Testing 25 Robots
Solution time: 1.726142406463623s

Testing 26 Robots
Solution time: 1.4995758533477783s

Testing 27 Robots
Solution time: 1.6978528499603271s

Testing 28 Robots
Solution time: 1.4020743370056152s

Testing 29 Robots
Solution time: 1.475517749786377s

Testing 30 Robots
Solution time: 1.5184416770935059s

Testing 31 Robots
Solution time: 1.519465446472168s

Testing 32 Robots
Solution time: 1.6169087886810303s

Testing 33 Robots
Solution time: 2.1666665077209473s

Testing 34 Robots
Solution time: 2.0117204189300537s

Testing 35 Robots
Solution time: 1.9374370574951172s

Testing 36 Robots
Solution time: 2.0395073890686035s

Testing 37 Robots
Solution time: 2.1752941608428955s

Testing 38 Robots
Solution time: 2.250264883041382s

Testing 39 Robots
Solution time: 2.2617931365966797s

Testing 40 Robots
Solution time: 2.412545680999756s

Testing 41 Robots
Solution time: 2.4593591690063477s

Testing 42 Robots
Solution time: 2.427534818649292s

Testing 43 Robots
Solution time: 2.5023200511932373s

Testing 44 Robots
Solution time: 2.850536346435547s

Testing 45 Robots
Solution time: 2.5571277141571045s

Testing 46 Robots
Solution time: 2.6284079551696777s

Testing 47 Robots
Solution time: 2.6773900985717773s

Testing 48 Robots
Solution time: 2.8562066555023193s

Testing 49 Robots
Solution time: 3.4192590713500977s

Testing 50 Robots
Solution time: 3.1676859855651855s

Testing 51 Robots
Solution time: 2.9769997596740723s

Testing 52 Robots
Solution time: 3.380387783050537s

Testing 53 Robots
Solution time: 3.718477725982666s

Testing 54 Robots
Solution time: 3.656738519668579s

Testing 55 Robots
Solution time: 3.967125654220581s

Testing 56 Robots
Solution time: 3.971806526184082s

Testing 57 Robots
Solution time: 4.116823196411133s

Testing 58 Robots
Solution time: 4.284909248352051s

Testing 59 Robots
Solution time: 4.633465766906738s

Testing 60 Robots
Solution time: 5.015156269073486s

Testing 61 Robots
Solution time: 4.571080207824707s

Testing 62 Robots
Solution time: 4.8954243659973145s

Testing 63 Robots
Solution time: 4.9684436321258545s

Testing 64 Robots
Solution time: 5.83230447769165s

Testing 65 Robots
Solution time: 5.155220985412598s

Testing 66 Robots
Solution time: 4.889432430267334s

Testing 67 Robots
Solution time: 5.160327672958374s

Testing 68 Robots
