Seed:  2573200275835871438
Testing 1 Robots
Solution time: 0.0545954704284668s

Testing 2 Robots
Solution time: 0.06465530395507812s

Testing 3 Robots
Solution time: 0.07547187805175781s

Testing 4 Robots
Solution time: 0.1257190704345703s

Testing 5 Robots
Solution time: 0.16174674034118652s

Testing 6 Robots
Solution time: 0.28029370307922363s

Testing 7 Robots
Solution time: 0.27086710929870605s

Testing 8 Robots
Solution time: 0.31949377059936523s

Testing 9 Robots
Solution time: 0.5532341003417969s

Testing 10 Robots
Solution time: 0.6027629375457764s

Testing 11 Robots
Solution time: 0.6255679130554199s

Testing 12 Robots
Solution time: 0.6865949630737305s

Testing 13 Robots
Solution time: 0.6024003028869629s

Testing 14 Robots
Solution time: 0.7709863185882568s

Testing 15 Robots
Solution time: 1.0706045627593994s

Testing 16 Robots
Solution time: 0.9387772083282471s

Testing 17 Robots
Solution time: 0.9634666442871094s

Testing 18 Robots
Solution time: 1.8796308040618896s

Testing 19 Robots
Solution time: 1.6431431770324707s

Testing 20 Robots
Solution time: 1.500490665435791s

Testing 21 Robots
Solution time: 2.2905712127685547s

Testing 22 Robots
Solution time: 2.4953155517578125s

Testing 23 Robots
Solution time: 1.5578010082244873s

Testing 24 Robots
Solution time: 1.476402759552002s

Testing 25 Robots
Solution time: 1.5842111110687256s

Testing 26 Robots
Solution time: 1.7197279930114746s

Testing 27 Robots
Solution time: 3.4671342372894287s

Testing 28 Robots
Solution time: 1.785961627960205s

Testing 29 Robots
Solution time: 1.7966625690460205s

Testing 30 Robots
Solution time: 1.9044818878173828s

Testing 31 Robots
Solution time: 2.0779471397399902s

Testing 32 Robots
Solution time: 2.2257344722747803s

Testing 33 Robots
Solution time: 2.263831377029419s

Testing 34 Robots
Solution time: 2.36808443069458s

Testing 35 Robots
Solution time: 2.1307830810546875s

Testing 36 Robots
Solution time: 2.371286630630493s

Testing 37 Robots
Solution time: 2.5250368118286133s

Testing 38 Robots
Solution time: 2.3533730506896973s

Testing 39 Robots
Solution time: 2.5285964012145996s

Testing 40 Robots
Solution time: 2.6064698696136475s

Testing 41 Robots
Solution time: 2.727806329727173s

Testing 42 Robots
Solution time: 2.7607526779174805s

Testing 43 Robots
Solution time: 3.099125385284424s

Testing 44 Robots
Solution time: 3.0185673236846924s

Testing 45 Robots
Solution time: 3.1874706745147705s

Testing 46 Robots
Solution time: 3.32317852973938s

Testing 47 Robots
Solution time: 3.367133855819702s

Testing 48 Robots
Solution time: 3.307830333709717s

Testing 49 Robots
Solution time: 3.569206714630127s

Testing 50 Robots
Solution time: 3.6159894466400146s

Testing 51 Robots
Solution time: 3.601724624633789s

Testing 52 Robots
Solution time: 3.939866065979004s

Testing 53 Robots
Solution time: 4.5095226764678955s

Testing 54 Robots
Solution time: 4.192422866821289s

Testing 55 Robots
Solution time: 4.034416437149048s

Testing 56 Robots
Solution time: 3.9958395957946777s

Testing 57 Robots
Solution time: 4.352101802825928s

Testing 58 Robots
Solution time: 4.619333267211914s

Testing 59 Robots
Solution time: 4.630810976028442s

Testing 60 Robots
Solution time: 5.620741128921509s

Testing 61 Robots
Solution time: 4.316874265670776s

Testing 62 Robots
Solution time: 5.060680866241455s

Testing 63 Robots
Solution time: 5.345862150192261s

Testing 64 Robots
Solution time: 4.820883512496948s

Testing 65 Robots
Solution time: 5.839748382568359s

Testing 66 Robots
Solution time: 7.914588212966919s

Testing 67 Robots
Solution time: 7.319521903991699s

Testing 68 Robots
Solution time: 6.991187572479248s

Testing 69 Robots
Solution time: 6.957992792129517s

Testing 70 Robots
Solution time: 8.287065267562866s

Testing 71 Robots
Solution time: 6.30413556098938s

Testing 72 Robots
Solution time: 5.609054327011108s

Testing 73 Robots
Solution time: 6.229805946350098s

Testing 74 Robots
Solution time: 7.3168044090271s

Testing 75 Robots
Solution time: 7.464995861053467s

Testing 76 Robots
Solution time: 7.550974130630493s

Testing 77 Robots
Solution time: 7.669267416000366s

Testing 78 Robots
Solution time: 6.783227920532227s

Testing 79 Robots
Solution time: 7.345776557922363s

Testing 80 Robots
Solution time: 8.401133298873901s

Testing 81 Robots
Solution time: 8.384430885314941s

Testing 82 Robots
Solution time: 8.939220666885376s

Testing 83 Robots
Solution time: 8.087084293365479s

Testing 84 Robots
Solution time: 8.009283781051636s

Testing 85 Robots
Solution time: 8.294294834136963s

Testing 86 Robots
Solution time: 8.85882306098938s

Testing 87 Robots
Solution time: 9.706425189971924s

Testing 88 Robots
Solution time: 9.022222757339478s

Testing 89 Robots
Solution time: 8.208089828491211s

Testing 90 Robots
Solution time: 9.637054443359375s

Testing 91 Robots
