Seed:  6787229354328553114
Testing 1 Robots
Solution time: 0.03221440315246582s

Testing 2 Robots
Solution time: 0.031003236770629883s

Testing 3 Robots
Solution time: 0.07043313980102539s

Testing 4 Robots
Solution time: 0.06885290145874023s

Testing 5 Robots
Solution time: 0.07252168655395508s

Testing 6 Robots
Solution time: 0.13029956817626953s

Testing 7 Robots
Solution time: 0.14275765419006348s

Testing 8 Robots
Solution time: 0.2042863368988037s

Testing 9 Robots
Solution time: 0.21245336532592773s

Testing 10 Robots
Solution time: 0.2840852737426758s

Testing 11 Robots
Solution time: 0.6325526237487793s

Testing 12 Robots
Solution time: 0.5920891761779785s

Testing 13 Robots
Solution time: 0.5007038116455078s

Testing 14 Robots
Solution time: 0.6468582153320312s

Testing 15 Robots
Solution time: 0.5351967811584473s

Testing 16 Robots
Solution time: 0.8524153232574463s

Testing 17 Robots
Solution time: 0.86629319190979s

Testing 18 Robots
Solution time: 1.1313281059265137s

Testing 19 Robots
Solution time: 1.1487808227539062s

Testing 20 Robots
Solution time: 1.2792999744415283s

Testing 21 Robots
Solution time: 1.326920509338379s

Testing 22 Robots
Solution time: 2.179932117462158s

Testing 23 Robots
Solution time: 1.5050897598266602s

Testing 24 Robots
Solution time: 1.5966553688049316s

Testing 25 Robots
Solution time: 2.924588203430176s

Testing 26 Robots
Solution time: 1.6416301727294922s

Testing 27 Robots
Solution time: 1.4337680339813232s

Testing 28 Robots
Solution time: 1.5797808170318604s

Testing 29 Robots
Solution time: 1.5658304691314697s

Testing 30 Robots
Solution time: 1.5198161602020264s

Testing 31 Robots
Solution time: 2.3823561668395996s

Testing 32 Robots
Solution time: 1.6567420959472656s

Testing 33 Robots
Solution time: 1.811081886291504s

Testing 34 Robots
Solution time: 1.9911983013153076s

Testing 35 Robots
Solution time: 1.9549555778503418s

Testing 36 Robots
Solution time: 2.0606725215911865s

Testing 37 Robots
Solution time: 2.020566701889038s

Testing 38 Robots
Solution time: 2.0391175746917725s

Testing 39 Robots
Solution time: 1.9528746604919434s

Testing 40 Robots
Solution time: 2.2362852096557617s

Testing 41 Robots
Solution time: 2.3913304805755615s

Testing 42 Robots
Solution time: 2.451645612716675s

Testing 43 Robots
Solution time: 2.4619202613830566s

Testing 44 Robots
Solution time: 2.590010643005371s

Testing 45 Robots
Solution time: 2.7186172008514404s

Testing 46 Robots
Solution time: 2.72800612449646s

Testing 47 Robots
Solution time: 2.7901153564453125s

Testing 48 Robots
Solution time: 3.0998756885528564s

Testing 49 Robots
Solution time: 3.109057664871216s

Testing 50 Robots
Solution time: 3.2163918018341064s

Testing 51 Robots
Solution time: 3.382998466491699s

Testing 52 Robots
Solution time: 3.1399683952331543s

Testing 53 Robots
Solution time: 3.1477863788604736s

Testing 54 Robots
Solution time: 3.463155746459961s

Testing 55 Robots
Solution time: 3.6872169971466064s

Testing 56 Robots
Solution time: 3.555497884750366s

Testing 57 Robots
Solution time: 3.7645926475524902s

Testing 58 Robots
Solution time: 3.9124293327331543s

Testing 59 Robots
Solution time: 3.9680795669555664s

Testing 60 Robots
Solution time: 3.809544086456299s

Testing 61 Robots
Solution time: 4.046719789505005s

Testing 62 Robots
Solution time: 4.507311105728149s

Testing 63 Robots
Solution time: 4.507336139678955s

Testing 64 Robots
Solution time: 4.378789901733398s

Testing 65 Robots
Solution time: 4.482128381729126s

Testing 66 Robots
Solution time: 4.467066764831543s

Testing 67 Robots
Solution time: 4.431389808654785s

Testing 68 Robots
Solution time: 4.531512260437012s

Testing 69 Robots
Solution time: 5.046956777572632s

Testing 70 Robots
Solution time: 4.917318105697632s

Testing 71 Robots
Solution time: 5.401890277862549s

Testing 72 Robots
Solution time: 5.471407890319824s

Testing 73 Robots
Solution time: 5.95725679397583s

Testing 74 Robots
Solution time: 5.643977642059326s

Testing 75 Robots
Solution time: 5.514603614807129s

Testing 76 Robots
Solution time: 5.3099164962768555s

Testing 77 Robots
Solution time: 6.039795160293579s

Testing 78 Robots
Solution time: 6.202987909317017s

Testing 79 Robots
Solution time: 5.970904588699341s

Testing 80 Robots
Solution time: 5.588623285293579s

Testing 81 Robots
Solution time: 7.9373939037323s

Testing 82 Robots
Solution time: 6.153719902038574s

Testing 83 Robots
Solution time: 6.352456569671631s

Testing 84 Robots
Solution time: 6.181515455245972s

Testing 85 Robots
Solution time: 6.450465202331543s

Testing 86 Robots
