Seed:  2833473780188703688
Testing 1 Robots
Solution time: 0.3828005790710449s

Testing 2 Robots
Solution time: 0.6186139583587646s

Testing 3 Robots
Solution time: 0.6562983989715576s

Testing 4 Robots
Solution time: 1.0833759307861328s

Testing 5 Robots
Solution time: 1.700873613357544s

Testing 6 Robots
Solution time: 1.5584251880645752s

Testing 7 Robots
Solution time: 1.7898707389831543s

Testing 8 Robots
Solution time: 1.944061040878296s

Testing 9 Robots
Solution time: 2.35424542427063s

Testing 10 Robots
Solution time: 2.9347736835479736s

Testing 11 Robots
Solution time: 2.3983709812164307s

Testing 12 Robots
Solution time: 3.0864827632904053s

Testing 13 Robots
Solution time: 3.9191884994506836s

Testing 14 Robots
Solution time: 3.111114740371704s

Testing 15 Robots
Solution time: 3.4851744174957275s

Testing 16 Robots
Solution time: 4.442428112030029s

Testing 17 Robots
Solution time: 4.034870862960815s

Testing 18 Robots
Solution time: 4.604192495346069s

Testing 19 Robots
Solution time: 5.641498327255249s

Testing 20 Robots
Solution time: 6.588327169418335s

Testing 21 Robots
Solution time: 5.329720735549927s

Testing 22 Robots
Solution time: 5.761182546615601s

Testing 23 Robots
Solution time: 5.932924509048462s

Testing 24 Robots
Solution time: 7.136951923370361s

Testing 25 Robots
Solution time: 7.384115695953369s

Testing 26 Robots
Solution time: 7.383193016052246s

Testing 27 Robots
Solution time: 7.596874952316284s

Testing 28 Robots
Solution time: 7.921963691711426s

Testing 29 Robots
Solution time: 10.11880874633789s

Testing 30 Robots
Solution time: 9.099011421203613s

Testing 31 Robots
Solution time: 11.569751501083374s

Testing 32 Robots
Solution time: 10.04236912727356s

Testing 33 Robots
Solution time: 9.627681016921997s

Testing 34 Robots
Solution time: 9.848169803619385s

Testing 35 Robots
Solution time: 11.271973609924316s

Testing 36 Robots
Solution time: 11.100040197372437s

Testing 37 Robots
Solution time: 10.800738096237183s

Testing 38 Robots
Solution time: 12.01258397102356s

Testing 39 Robots
Solution time: 11.89281153678894s

Testing 40 Robots
Solution time: 12.484665632247925s

Testing 41 Robots
Solution time: 12.434732675552368s

Testing 42 Robots
Solution time: 12.92595624923706s

Testing 43 Robots
Solution time: 13.445530414581299s

Testing 44 Robots
Solution time: 16.76997184753418s

Testing 45 Robots
Solution time: 15.060736417770386s

Testing 46 Robots
Solution time: 18.58846640586853s

Testing 47 Robots
Solution time: 16.109786987304688s

Testing 48 Robots
Solution time: 16.321592569351196s

Testing 49 Robots
Solution time: 15.307647466659546s

Testing 50 Robots
Solution time: 16.648273468017578s

Testing 51 Robots
Solution time: 17.96732211112976s

Testing 52 Robots
Solution time: 16.793826580047607s

Testing 53 Robots
Solution time: 18.115879774093628s

Testing 54 Robots
Solution time: 19.30899405479431s

Testing 55 Robots
Solution time: 19.852368354797363s

Testing 56 Robots
Solution time: 19.76943588256836s

Testing 57 Robots
Solution time: 21.836272954940796s

Testing 58 Robots
Solution time: 19.375157833099365s

Testing 59 Robots
Solution time: 21.13136315345764s

Testing 60 Robots
Solution time: 21.64765191078186s

Testing 61 Robots
Timeout
