Seed:  3956746202925598947
Testing 1 Robots
Solution time: 0.26143646240234375s

Testing 2 Robots
Solution time: 0.30800724029541016s

Testing 3 Robots
Solution time: 0.44047093391418457s

Testing 4 Robots
Solution time: 1.1022522449493408s

Testing 5 Robots
Solution time: 1.142174243927002s

Testing 6 Robots
Solution time: 1.889286756515503s

Testing 7 Robots
Solution time: 1.9800875186920166s

Testing 8 Robots
Solution time: 2.328514575958252s

Testing 9 Robots
Solution time: 2.168208360671997s

Testing 10 Robots
Solution time: 4.294714450836182s

Testing 11 Robots
Solution time: 2.8500375747680664s

Testing 12 Robots
Solution time: 4.135572671890259s

Testing 13 Robots
Solution time: 4.548429012298584s

Testing 14 Robots
Solution time: 3.454172372817993s

Testing 15 Robots
Solution time: 5.130828380584717s

Testing 16 Robots
Solution time: 3.9404537677764893s

Testing 17 Robots
Solution time: 4.212707042694092s

Testing 18 Robots
Solution time: 4.573904275894165s

Testing 19 Robots
Solution time: 5.437169790267944s

Testing 20 Robots
Solution time: 17.392840147018433s

Testing 21 Robots
Solution time: 5.3637471199035645s

Testing 22 Robots
Solution time: 5.663655757904053s

Testing 23 Robots
Solution time: 6.1638195514678955s

Testing 24 Robots
Solution time: 6.709350824356079s

Testing 25 Robots
Solution time: 6.602138519287109s

Testing 26 Robots
Solution time: 7.483190059661865s

Testing 27 Robots
Solution time: 7.2456138134002686s

Testing 28 Robots
Solution time: 7.9718177318573s

Testing 29 Robots
Solution time: 8.322221040725708s

Testing 30 Robots
Solution time: 8.96788501739502s

Testing 31 Robots
Solution time: 8.794384241104126s

Testing 32 Robots
Solution time: 9.911336183547974s

Testing 33 Robots
Solution time: 10.166452646255493s

Testing 34 Robots
Solution time: 9.5532705783844s

Testing 35 Robots
Solution time: 10.060844659805298s

Testing 36 Robots
Solution time: 10.838374614715576s

Testing 37 Robots
Solution time: 11.28965163230896s

Testing 38 Robots
Solution time: 12.849506855010986s

Testing 39 Robots
Solution time: 18.64403533935547s

Testing 40 Robots
Solution time: 14.31851315498352s

Testing 41 Robots
Solution time: 14.752136945724487s

Testing 42 Robots
Solution time: 14.574663162231445s

Testing 43 Robots
Solution time: 15.578656435012817s

Testing 44 Robots
Solution time: 16.428460121154785s

Testing 45 Robots
Solution time: 15.600151300430298s

Testing 46 Robots
Solution time: 16.55316185951233s

Testing 47 Robots
Solution time: 17.006449937820435s

Testing 48 Robots
Solution time: 19.12804865837097s

Testing 49 Robots
Solution time: 17.9483540058136s

Testing 50 Robots
Solution time: 19.795915603637695s

Testing 51 Robots
Solution time: 20.069653749465942s

Testing 52 Robots
Solution time: 24.41599416732788s

Testing 53 Robots
Solution time: 22.821730375289917s

Testing 54 Robots
Solution time: 22.964848518371582s

Testing 55 Robots
Solution time: 20.706194400787354s

Testing 56 Robots
Solution time: 21.319818258285522s

Testing 57 Robots
Solution time: 21.64217758178711s

Testing 58 Robots
Timeout
