Seed:  5573532838190028252
Testing 1 Robots
Solution time: 0.24988126754760742s

Testing 2 Robots
Solution time: 0.30409812927246094s

Testing 3 Robots
Solution time: 0.384382963180542s

Testing 4 Robots
Solution time: 0.48147106170654297s

Testing 5 Robots
Solution time: 0.591651439666748s

Testing 6 Robots
Solution time: 1.2832362651824951s

Testing 7 Robots
Solution time: 1.3454704284667969s

Testing 8 Robots
Solution time: 1.546243667602539s

Testing 9 Robots
Solution time: 1.5819430351257324s

Testing 10 Robots
Solution time: 2.148131847381592s

Testing 11 Robots
Solution time: 2.4352712631225586s

Testing 12 Robots
Solution time: 2.4048404693603516s

Testing 13 Robots
Solution time: 2.2786808013916016s

Testing 14 Robots
Solution time: 2.461073875427246s

Testing 15 Robots
Solution time: 6.522211074829102s

Testing 16 Robots
Solution time: 3.305732011795044s

Testing 17 Robots
Solution time: 5.622781276702881s

Testing 18 Robots
Solution time: 3.30444598197937s

Testing 19 Robots
Solution time: 3.8077282905578613s

Testing 20 Robots
Solution time: 3.8444836139678955s

Testing 21 Robots
Solution time: 3.975820541381836s

Testing 22 Robots
Solution time: 4.03337836265564s

Testing 23 Robots
Solution time: 5.0650317668914795s

Testing 24 Robots
Solution time: 4.715187072753906s

Testing 25 Robots
Solution time: 5.190829515457153s

Testing 26 Robots
Solution time: 5.393166780471802s

Testing 27 Robots
Solution time: 5.263674736022949s

Testing 28 Robots
Solution time: 6.894296884536743s

Testing 29 Robots
Solution time: 7.0414087772369385s

Testing 30 Robots
Solution time: 7.252655506134033s

Testing 31 Robots
Solution time: 7.796494483947754s

Testing 32 Robots
Solution time: 8.359585285186768s

Testing 33 Robots
Solution time: 8.100491523742676s

Testing 34 Robots
Solution time: 8.23383378982544s

Testing 35 Robots
Solution time: 8.879364013671875s

Testing 36 Robots
Solution time: 8.638974905014038s

Testing 37 Robots
Solution time: 9.45008659362793s

Testing 38 Robots
Solution time: 9.088072776794434s

Testing 39 Robots
Solution time: 10.062469959259033s

Testing 40 Robots
Solution time: 10.580955743789673s

Testing 41 Robots
Solution time: 11.071408748626709s

Testing 42 Robots
Solution time: 10.857342004776001s

Testing 43 Robots
Solution time: 12.328429222106934s

Testing 44 Robots
Solution time: 13.553531646728516s

Testing 45 Robots
Solution time: 12.553878784179688s

Testing 46 Robots
Solution time: 11.893888473510742s

Testing 47 Robots
Solution time: 12.932356119155884s

Testing 48 Robots
Solution time: 15.531087636947632s

Testing 49 Robots
Solution time: 13.03127121925354s

Testing 50 Robots
Solution time: 13.491095066070557s

Testing 51 Robots
Solution time: 17.173644542694092s

Testing 52 Robots
Solution time: 15.349899530410767s

Testing 53 Robots
Solution time: 15.815757036209106s

Testing 54 Robots
Solution time: 14.837621212005615s

Testing 55 Robots
Solution time: 15.348616600036621s

Testing 56 Robots
Solution time: 14.888865232467651s

Testing 57 Robots
Solution time: 16.935875177383423s

Testing 58 Robots
Solution time: 16.05275011062622s

Testing 59 Robots
Solution time: 17.7021427154541s

Testing 60 Robots
Solution time: 17.883089065551758s

Testing 61 Robots
Solution time: 18.24195909500122s

Testing 62 Robots
Solution time: 17.16258692741394s

Testing 63 Robots
Solution time: 16.235215425491333s

Testing 64 Robots
Solution time: 18.427236080169678s

Testing 65 Robots
Solution time: 21.1363787651062s

Testing 66 Robots
Solution time: 21.192220211029053s

Testing 67 Robots
Timeout
