Seed:  3158479470971201648
Testing 1 Robots
Solution time: 0.050901174545288086s

Testing 2 Robots
Solution time: 0.9128828048706055s

Testing 3 Robots
Solution time: 0.752084493637085s

Testing 4 Robots
Solution time: 0.9478015899658203s

Testing 5 Robots
Solution time: 2.513965368270874s

Testing 6 Robots
Solution time: 0.9956092834472656s

Testing 7 Robots
Solution time: 37.67616152763367s

Testing 8 Robots
Solution time: 47.965726375579834s

Testing 9 Robots
Solution time: 74.33280158042908s

Testing 10 Robots
Solution time: 94.77569127082825s

Testing 11 Robots
Solution time: 213.3897988796234s

Testing 12 Robots
Timeout
