Seed:  9223358019744600714
Testing 1 Robots
Solution time: 0.22910213470458984s

Testing 2 Robots
Solution time: 0.27713537216186523s

Testing 3 Robots
Solution time: 0.38663530349731445s

Testing 4 Robots
Solution time: 0.38422703742980957s

Testing 5 Robots
Solution time: 0.5104241371154785s

Testing 6 Robots
Solution time: 0.46968841552734375s

Testing 7 Robots
Solution time: 0.6160826683044434s

Testing 8 Robots
Solution time: 0.6110615730285645s

Testing 9 Robots
Solution time: 0.6850190162658691s

Testing 10 Robots
Solution time: 0.7525496482849121s

Testing 11 Robots
Solution time: 0.9495666027069092s

Testing 12 Robots
Solution time: 1.0841999053955078s

Testing 13 Robots
Solution time: 1.2409534454345703s

Testing 14 Robots
Solution time: 1.3347396850585938s

Testing 15 Robots
Solution time: 1.3250513076782227s

Testing 16 Robots
Solution time: 1.5033636093139648s

Testing 17 Robots
Solution time: 1.5738716125488281s

Testing 18 Robots
Solution time: 1.553285837173462s

Testing 19 Robots
Solution time: 1.6623563766479492s

Testing 20 Robots
Solution time: 1.6109156608581543s

Testing 21 Robots
Solution time: 1.7753138542175293s

Testing 22 Robots
Solution time: 1.8653850555419922s

Testing 23 Robots
Solution time: 1.8591256141662598s

Testing 24 Robots
Solution time: 1.9670612812042236s

Testing 25 Robots
Solution time: 2.027512550354004s

Testing 26 Robots
Solution time: 2.1875107288360596s

Testing 27 Robots
Solution time: 2.2660915851593018s

Testing 28 Robots
Solution time: 2.3222391605377197s

Testing 29 Robots
Solution time: 2.445558786392212s

Testing 30 Robots
Solution time: 2.3952648639678955s

Testing 31 Robots
Solution time: 2.7219250202178955s

Testing 32 Robots
Solution time: 2.6375231742858887s

Testing 33 Robots
Solution time: 2.833183765411377s

Testing 34 Robots
Solution time: 2.9254517555236816s

Testing 35 Robots
Solution time: 3.095761299133301s

Testing 36 Robots
Solution time: 3.040276288986206s

Testing 37 Robots
Solution time: 3.1274993419647217s

Testing 38 Robots
Solution time: 4.654658794403076s

Testing 39 Robots
Solution time: 4.612514495849609s

Testing 40 Robots
Solution time: 5.045135021209717s

Testing 41 Robots
Solution time: 5.114948511123657s

Testing 42 Robots
Solution time: 4.902365684509277s

Testing 43 Robots
Solution time: 5.47040319442749s

Testing 44 Robots
Solution time: 4.801847457885742s

Testing 45 Robots
Solution time: 5.168444395065308s

Testing 46 Robots
Solution time: 4.980013370513916s

Testing 47 Robots
Solution time: 5.121576547622681s

Testing 48 Robots
Solution time: 5.217751741409302s

Testing 49 Robots
Solution time: 5.528102159500122s

Testing 50 Robots
Solution time: 5.729410648345947s

Testing 51 Robots
Solution time: 6.775516510009766s

Testing 52 Robots
Solution time: 6.050967216491699s

Testing 53 Robots
Solution time: 6.065360069274902s

Testing 54 Robots
Solution time: 6.180353879928589s

Testing 55 Robots
Solution time: 6.588923454284668s

Testing 56 Robots
Solution time: 6.828610420227051s

Testing 57 Robots
Solution time: 7.002959251403809s

Testing 58 Robots
Solution time: 6.7478814125061035s

Testing 59 Robots
Solution time: 7.254234790802002s

Testing 60 Robots
Solution time: 5.855500221252441s

Testing 61 Robots
Solution time: 6.0461859703063965s

Testing 62 Robots
Solution time: 6.344449281692505s

Testing 63 Robots
Solution time: 6.478590726852417s

Testing 64 Robots
Solution time: 6.631669044494629s

Testing 65 Robots
Solution time: 6.795333385467529s

Testing 66 Robots
Solution time: 6.726530313491821s

Testing 67 Robots
Solution time: 7.017947196960449s

Testing 68 Robots
Solution time: 7.095918655395508s

Testing 69 Robots
Solution time: 7.442359924316406s

Testing 70 Robots
Solution time: 7.450413703918457s

Testing 71 Robots
Solution time: 7.547906875610352s

Testing 72 Robots
Solution time: 7.699065685272217s

Testing 73 Robots
Solution time: 7.6535704135894775s

Testing 74 Robots
Solution time: 7.639608383178711s

Testing 75 Robots
Solution time: 7.932487964630127s

Testing 76 Robots
Solution time: 7.880004644393921s

Testing 77 Robots
Solution time: 7.889091491699219s

Testing 78 Robots
Solution time: 8.152255058288574s

Testing 79 Robots
Solution time: 8.52446722984314s

Testing 80 Robots
Solution time: 8.487028121948242s

Testing 81 Robots
Solution time: 8.878305673599243s

Testing 82 Robots
Solution time: 8.918330430984497s

Testing 83 Robots
Solution time: 8.939847946166992s

Testing 84 Robots
Solution time: 9.397071123123169s

Testing 85 Robots
Solution time: 9.275470495223999s

Testing 86 Robots
Solution time: 8.804064273834229s

Testing 87 Robots
Solution time: 9.110292434692383s

Testing 88 Robots
Solution time: 9.403023481369019s

Testing 89 Robots
Solution time: 9.54439091682434s

Testing 90 Robots
Solution time: 9.722305059432983s

Testing 91 Robots
Solution time: 9.913538932800293s

Testing 92 Robots
Solution time: 10.100052118301392s

Testing 93 Robots
Solution time: 10.214214563369751s

Testing 94 Robots
Solution time: 10.242229700088501s

Testing 95 Robots
Solution time: 10.496391296386719s

Testing 96 Robots
Solution time: 10.360397577285767s

Testing 97 Robots
Solution time: 10.766184329986572s

Testing 98 Robots
Solution time: 10.438727617263794s

Testing 99 Robots
Solution time: 10.702083826065063s

Testing 100 Robots
Solution time: 10.912514209747314s

Testing 101 Robots
Solution time: 10.994968175888062s

Testing 102 Robots
Solution time: 11.1439208984375s

Testing 103 Robots
Solution time: 11.398989915847778s

Testing 104 Robots
Solution time: 11.395955562591553s

Testing 105 Robots
Solution time: 11.137663125991821s

Testing 106 Robots
Timeout
