Seed:  9086962782168495841
Testing 1 Robots
Solution time: 0.24668169021606445s

Testing 2 Robots
Solution time: 0.20247912406921387s

Testing 3 Robots
Solution time: 0.3329629898071289s

Testing 4 Robots
Solution time: 0.3882932662963867s

Testing 5 Robots
Solution time: 0.38283681869506836s

Testing 6 Robots
Solution time: 0.4691276550292969s

Testing 7 Robots
Solution time: 0.5818543434143066s

Testing 8 Robots
Solution time: 0.5979244709014893s

Testing 9 Robots
Solution time: 0.6179759502410889s

Testing 10 Robots
Solution time: 0.6946043968200684s

Testing 11 Robots
Solution time: 0.874234676361084s

Testing 12 Robots
Solution time: 0.9216973781585693s

Testing 13 Robots
Solution time: 1.042008876800537s

Testing 14 Robots
Solution time: 1.1609654426574707s

Testing 15 Robots
Solution time: 1.1991612911224365s

Testing 16 Robots
Solution time: 1.1263558864593506s

Testing 17 Robots
Solution time: 1.1498644351959229s

Testing 18 Robots
Solution time: 1.5911149978637695s

Testing 19 Robots
Solution time: 1.5153584480285645s

Testing 20 Robots
Solution time: 1.5794799327850342s

Testing 21 Robots
Solution time: 1.7824597358703613s

Testing 22 Robots
Solution time: 1.9206740856170654s

Testing 23 Robots
Solution time: 1.8345069885253906s

Testing 24 Robots
Solution time: 1.748169183731079s

Testing 25 Robots
Solution time: 1.855997085571289s

Testing 26 Robots
Solution time: 1.8337950706481934s

Testing 27 Robots
Solution time: 1.9366834163665771s

Testing 28 Robots
Solution time: 1.954425573348999s

Testing 29 Robots
Solution time: 2.014378786087036s

Testing 30 Robots
Solution time: 2.174906015396118s

Testing 31 Robots
Solution time: 2.2246487140655518s

Testing 32 Robots
Solution time: 2.2492363452911377s

Testing 33 Robots
Solution time: 2.333800792694092s

Testing 34 Robots
Solution time: 2.4657695293426514s

Testing 35 Robots
Solution time: 2.4862213134765625s

Testing 36 Robots
Solution time: 2.5744974613189697s

Testing 37 Robots
Solution time: 2.772608518600464s

Testing 38 Robots
Solution time: 2.705471992492676s

Testing 39 Robots
Solution time: 2.7816202640533447s

Testing 40 Robots
Solution time: 2.895055055618286s

Testing 41 Robots
Solution time: 3.0237975120544434s

Testing 42 Robots
Solution time: 2.9723737239837646s

Testing 43 Robots
Solution time: 3.1605379581451416s

Testing 44 Robots
Solution time: 3.185559034347534s

Testing 45 Robots
Solution time: 3.2259230613708496s

Testing 46 Robots
Solution time: 3.3573226928710938s

Testing 47 Robots
Solution time: 3.4333484172821045s

Testing 48 Robots
Solution time: 3.530324697494507s

Testing 49 Robots
Solution time: 3.483621597290039s

Testing 50 Robots
Solution time: 3.584914207458496s

Testing 51 Robots
Solution time: 3.7376928329467773s

Testing 52 Robots
Solution time: 3.6715712547302246s

Testing 53 Robots
Solution time: 3.812431573867798s

Testing 54 Robots
Solution time: 3.9815821647644043s

Testing 55 Robots
Solution time: 4.101726770401001s

Testing 56 Robots
Solution time: 4.1171464920043945s

Testing 57 Robots
Solution time: 4.2124598026275635s

Testing 58 Robots
Solution time: 4.408081769943237s

Testing 59 Robots
Solution time: 4.32490348815918s

Testing 60 Robots
Solution time: 4.477030992507935s

Testing 61 Robots
Solution time: 4.5009846687316895s

Testing 62 Robots
Solution time: 4.63042140007019s

Testing 63 Robots
Solution time: 4.65197229385376s

Testing 64 Robots
Solution time: 4.7847981452941895s

Testing 65 Robots
Solution time: 4.852038145065308s

Testing 66 Robots
Solution time: 4.986049652099609s

Testing 67 Robots
Solution time: 4.925175428390503s

Testing 68 Robots
Solution time: 5.053255081176758s

Testing 69 Robots
Solution time: 5.266781806945801s

Testing 70 Robots
Solution time: 5.27594780921936s

Testing 71 Robots
Solution time: 5.630845308303833s

Testing 72 Robots
Solution time: 5.878799915313721s

Testing 73 Robots
Solution time: 5.892892599105835s

Testing 74 Robots
Solution time: 5.88558554649353s

Testing 75 Robots
Solution time: 6.1686084270477295s

Testing 76 Robots
Solution time: 6.149379253387451s

Testing 77 Robots
Solution time: 6.152483940124512s

Testing 78 Robots
Solution time: 6.416283130645752s

Testing 79 Robots
Solution time: 6.538338661193848s

Testing 80 Robots
Solution time: 6.379876375198364s

Testing 81 Robots
Solution time: 6.719869613647461s

Testing 82 Robots
Solution time: 6.904536962509155s

Testing 83 Robots
Solution time: 6.961055278778076s

Testing 84 Robots
Solution time: 7.079353332519531s

Testing 85 Robots
Solution time: 7.2635533809661865s

Testing 86 Robots
Solution time: 7.1631433963775635s

Testing 87 Robots
Solution time: 7.302372455596924s

Testing 88 Robots
Solution time: 7.610180139541626s

Testing 89 Robots
Solution time: 7.601537704467773s

Testing 90 Robots
Solution time: 7.477542400360107s

Testing 91 Robots
Solution time: 7.7310731410980225s

Testing 92 Robots
Solution time: 7.708210468292236s

Testing 93 Robots
Solution time: 7.707937002182007s

Testing 94 Robots
Solution time: 7.9843430519104s

Testing 95 Robots
Solution time: 7.982677221298218s

Testing 96 Robots
Solution time: 7.974486351013184s

Testing 97 Robots
Solution time: 8.239574432373047s

Testing 98 Robots
Solution time: 8.301163911819458s

Testing 99 Robots
Solution time: 8.101246118545532s

Testing 100 Robots
Solution time: 8.70304250717163s

Testing 101 Robots
