Seed:  2138028051200873870
Testing 1 Robots
Solution time: 0.11826777458190918s

Testing 2 Robots
Solution time: 0.1272263526916504s

Testing 3 Robots
Solution time: 0.2562127113342285s

Testing 4 Robots
Solution time: 0.34690284729003906s

Testing 5 Robots
Solution time: 0.6207761764526367s

Testing 6 Robots
Solution time: 0.825599193572998s

Testing 7 Robots
Solution time: 0.72566819190979s

Testing 8 Robots
Solution time: 2.253690481185913s

Testing 9 Robots
Solution time: 1.0463037490844727s

Testing 10 Robots
Solution time: 1.163804054260254s

Testing 11 Robots
Solution time: 1.1537859439849854s

Testing 12 Robots
Solution time: 1.5115699768066406s

Testing 13 Robots
Solution time: 1.8279004096984863s

Testing 14 Robots
Solution time: 1.7589457035064697s

Testing 15 Robots
Solution time: 3.386695384979248s

Testing 16 Robots
Solution time: 1.8842415809631348s

Testing 17 Robots
Solution time: 1.8526577949523926s

Testing 18 Robots
Solution time: 2.062061071395874s

Testing 19 Robots
Solution time: 2.854862689971924s

Testing 20 Robots
Solution time: 2.02402400970459s

Testing 21 Robots
Solution time: 3.0048277378082275s

Testing 22 Robots
Solution time: 2.8992483615875244s

Testing 23 Robots
Solution time: 2.927694797515869s

Testing 24 Robots
Solution time: 5.21428108215332s

Testing 25 Robots
Solution time: 5.56065559387207s

Testing 26 Robots
Solution time: 3.332843065261841s

Testing 27 Robots
Solution time: 5.407973051071167s

Testing 28 Robots
Solution time: 5.075126886367798s

Testing 29 Robots
Solution time: 5.7687413692474365s

Testing 30 Robots
Solution time: 4.221598148345947s

Testing 31 Robots
Solution time: 6.983478307723999s

Testing 32 Robots
Solution time: 5.6616597175598145s

Testing 33 Robots
Solution time: 4.66654896736145s

Testing 34 Robots
Solution time: 6.319542407989502s

Testing 35 Robots
Solution time: 6.673858404159546s

Testing 36 Robots
Solution time: 11.03361701965332s

Testing 37 Robots
Solution time: 11.105680227279663s

Testing 38 Robots
Solution time: 12.161535739898682s

Testing 39 Robots
Solution time: 14.354053497314453s

Testing 40 Robots
Solution time: 15.912484407424927s

Testing 41 Robots
Solution time: 15.727593660354614s

Testing 42 Robots
Solution time: 14.795157670974731s

Testing 43 Robots
Solution time: 20.462332487106323s

Testing 44 Robots
Solution time: 16.817317724227905s

Testing 45 Robots
Solution time: 13.757701396942139s

Testing 46 Robots
Solution time: 17.124220609664917s

Testing 47 Robots
Solution time: 16.22766375541687s

Testing 48 Robots
Solution time: 17.865628004074097s

Testing 49 Robots
Solution time: 16.429363489151s

Testing 50 Robots
Solution time: 15.846461772918701s

Testing 51 Robots
Solution time: 23.84465742111206s

Testing 52 Robots
Solution time: 22.8924400806427s

Testing 53 Robots
Solution time: 18.733850717544556s

Testing 54 Robots
Solution time: 25.39491891860962s

Testing 55 Robots
Solution time: 25.494266271591187s

Testing 56 Robots
Solution time: 23.060930490493774s

Testing 57 Robots
Solution time: 20.850229263305664s

Testing 58 Robots
Solution time: 20.846644639968872s

Testing 59 Robots
Solution time: 27.875856161117554s

Testing 60 Robots
Solution time: 31.613632917404175s

Testing 61 Robots
Solution time: 25.578278303146362s

Testing 62 Robots
Timeout
