Seed:  1298810721143603600
Testing 1 Robots
Solution time: 0.03633379936218262s

Testing 2 Robots
Solution time: 0.053357839584350586s

Testing 3 Robots
Solution time: 0.0638878345489502s

Testing 4 Robots
Solution time: 0.3341379165649414s

Testing 5 Robots
Solution time: 0.5062193870544434s

Testing 6 Robots
Solution time: 0.5717895030975342s

Testing 7 Robots
Solution time: 0.874121904373169s

Testing 8 Robots
Solution time: 1.1109004020690918s

Testing 9 Robots
Solution time: 1.373929500579834s

Testing 10 Robots
Solution time: 1.611706018447876s

Testing 11 Robots
Solution time: 1.9002904891967773s

Testing 12 Robots
Solution time: 1.523301601409912s

Testing 13 Robots
Solution time: 1.8573415279388428s

Testing 14 Robots
Solution time: 2.1444714069366455s

Testing 15 Robots
Solution time: 2.2438478469848633s

Testing 16 Robots
Solution time: 2.509814500808716s

Testing 17 Robots
Solution time: 4.44129753112793s

Testing 18 Robots
Solution time: 2.611499309539795s

Testing 19 Robots
Solution time: 3.3961334228515625s

Testing 20 Robots
Solution time: 2.9683947563171387s

Testing 21 Robots
Solution time: 2.738489866256714s

Testing 22 Robots
Solution time: 2.984581708908081s

Testing 23 Robots
Solution time: 5.079511642456055s

Testing 24 Robots
Solution time: 5.049030780792236s

Testing 25 Robots
Solution time: 4.960179328918457s

Testing 26 Robots
Solution time: 4.1311914920806885s

Testing 27 Robots
Solution time: 4.52443528175354s

Testing 28 Robots
Solution time: 6.770269870758057s

Testing 29 Robots
Solution time: 4.676784992218018s

Testing 30 Robots
Solution time: 5.577000379562378s

Testing 31 Robots
Solution time: 6.429957866668701s

Testing 32 Robots
Solution time: 5.656808376312256s

Testing 33 Robots
Solution time: 6.0445616245269775s

Testing 34 Robots
Solution time: 8.745546102523804s

Testing 35 Robots
Solution time: 6.443684816360474s

Testing 36 Robots
Solution time: 11.165610074996948s

Testing 37 Robots
Solution time: 14.1088125705719s

Testing 38 Robots
Solution time: 23.215969562530518s

Testing 39 Robots
Solution time: 25.487849473953247s

Testing 40 Robots
Solution time: 22.673480987548828s

Testing 41 Robots
Solution time: 26.644792318344116s

Testing 42 Robots
Solution time: 29.697810173034668s

Testing 43 Robots
Solution time: 22.606154680252075s

Testing 44 Robots
Solution time: 21.601536989212036s

Testing 45 Robots
Solution time: 30.848164319992065s

Testing 46 Robots
Solution time: 24.67874026298523s

Testing 47 Robots
Solution time: 22.572924375534058s

Testing 48 Robots
Solution time: 21.86264944076538s

Testing 49 Robots
Solution time: 30.784485816955566s

Testing 50 Robots
Solution time: 17.656536102294922s

Testing 51 Robots
Solution time: 23.158369541168213s

Testing 52 Robots
Solution time: 27.73860478401184s

Testing 53 Robots
Solution time: 24.437880277633667s

Testing 54 Robots
Solution time: 19.24432682991028s

Testing 55 Robots
Solution time: 35.32038426399231s

Testing 56 Robots
Timeout
