Seed:  8909671586647046273
Testing 120 Robots
Solution time: 5.145023345947266s

Testing 121 Robots
Solution time: 5.107997894287109s

Testing 122 Robots
Solution time: 4.912005424499512s

Testing 123 Robots
Solution time: 5.704482078552246s

Testing 124 Robots
Solution time: 5.283996820449829s

Testing 125 Robots
Solution time: 5.359017372131348s

Testing 126 Robots
Solution time: 4.960520267486572s

Testing 127 Robots
Solution time: 4.770001649856567s

Testing 128 Robots
Solution time: 6.031996726989746s

Testing 129 Robots
Solution time: 5.592005252838135s

Testing 130 Robots
Solution time: 6.729015588760376s

Testing 131 Robots
Solution time: 5.735501050949097s

Testing 132 Robots
Solution time: 6.120004653930664s

Testing 133 Robots
Solution time: 6.295994758605957s

Testing 134 Robots
Solution time: 7.1885247230529785s

Testing 135 Robots
Solution time: 6.564960718154907s

Testing 136 Robots
Solution time: 6.457000255584717s

Testing 137 Robots
Solution time: 6.7419750690460205s

Testing 138 Robots
Solution time: 6.827519178390503s

Testing 139 Robots
Solution time: 6.398476839065552s

Testing 140 Robots
Solution time: 7.045000076293945s

Testing 141 Robots
Solution time: 6.760497331619263s

Testing 142 Robots
Solution time: 7.414495944976807s

Testing 143 Robots
Solution time: 6.921496629714966s

Testing 144 Robots
Solution time: 7.253021478652954s

Testing 145 Robots
Solution time: 7.0985167026519775s

Testing 146 Robots
Solution time: 7.152026414871216s

Testing 147 Robots
Solution time: 7.597015380859375s

Testing 148 Robots
Solution time: 7.351024866104126s

Testing 149 Robots
Solution time: 7.507981777191162s

Testing 150 Robots
Solution time: 7.468003988265991s

Testing 151 Robots
Solution time: 7.641471862792969s

Testing 152 Robots
Solution time: 7.112016439437866s

Testing 153 Robots
Solution time: 7.335496425628662s

Testing 154 Robots
Solution time: 7.592033624649048s

Testing 155 Robots
Solution time: 7.326993703842163s

Testing 156 Robots
Solution time: 7.871514320373535s

Testing 157 Robots
Solution time: 7.888000249862671s

Testing 158 Robots
Solution time: 7.703999042510986s

Testing 159 Robots
Solution time: 7.676000595092773s

Testing 160 Robots
Solution time: 8.37352705001831s

Testing 161 Robots
Solution time: 8.756502866744995s

Testing 162 Robots
Solution time: 7.812998056411743s

Testing 163 Robots
Solution time: 8.472511053085327s

Testing 164 Robots
Solution time: 8.271497249603271s

Testing 165 Robots
Solution time: 8.495028972625732s

Testing 166 Robots
Solution time: 8.89449667930603s

Testing 167 Robots
Solution time: 9.126515626907349s

Testing 168 Robots
Solution time: 8.895502090454102s

Testing 169 Robots
Solution time: 9.381490707397461s

Testing 170 Robots
Solution time: 10.02052092552185s

Testing 171 Robots
Solution time: 8.701990127563477s

Testing 172 Robots
Solution time: 10.161500930786133s

Testing 173 Robots
Solution time: 9.424994707107544s

Testing 174 Robots
Solution time: 9.238974571228027s

Testing 175 Robots
Solution time: 10.994014739990234s

Testing 176 Robots
Timeout
