Seed:  9065441516662252019
Testing 1 Robots
Solution time: 0.019003629684448242s

Testing 2 Robots
Solution time: 0.02651381492614746s

Testing 3 Robots
Solution time: 0.03251981735229492s

Testing 4 Robots
Solution time: 0.05101776123046875s

Testing 5 Robots
Solution time: 0.05448317527770996s

Testing 6 Robots
Solution time: 0.06298494338989258s

Testing 7 Robots
Solution time: 0.07001924514770508s

Testing 8 Robots
Solution time: 0.07951831817626953s

Testing 9 Robots
Solution time: 0.08852005004882812s

Testing 10 Robots
Solution time: 0.10301876068115234s

Testing 11 Robots
Solution time: 0.10800385475158691s

Testing 12 Robots
Solution time: 0.2520167827606201s

Testing 13 Robots
Solution time: 0.2734825611114502s

Testing 14 Robots
Solution time: 0.28100061416625977s

Testing 15 Robots
Solution time: 0.17751622200012207s

Testing 16 Robots
Solution time: 0.2015228271484375s

Testing 17 Robots
Solution time: 0.2024986743927002s

Testing 18 Robots
Solution time: 0.24896860122680664s

Testing 19 Robots
Solution time: 0.28001832962036133s

Testing 20 Robots
Solution time: 0.2764928340911865s

Testing 21 Robots
Solution time: 0.2985222339630127s

Testing 22 Robots
Solution time: 0.4050099849700928s

Testing 23 Robots
Solution time: 0.39750146865844727s

Testing 24 Robots
Solution time: 0.42352771759033203s

Testing 25 Robots
Solution time: 0.4245002269744873s

Testing 26 Robots
Solution time: 0.42151856422424316s

Testing 27 Robots
Solution time: 0.4504847526550293s

Testing 28 Robots
Solution time: 0.4834630489349365s

Testing 29 Robots
Solution time: 0.5365207195281982s

Testing 30 Robots
Solution time: 0.5435178279876709s

Testing 31 Robots
Solution time: 0.5220036506652832s

Testing 32 Robots
Solution time: 0.5425372123718262s

Testing 33 Robots
Solution time: 0.5540034770965576s

Testing 34 Robots
Solution time: 0.6130139827728271s

Testing 35 Robots
Solution time: 0.6089990139007568s

Testing 36 Robots
Solution time: 0.6220004558563232s

Testing 37 Robots
Solution time: 0.7123725414276123s

Testing 38 Robots
Solution time: 0.6455087661743164s

Testing 39 Robots
Solution time: 0.680518388748169s

Testing 40 Robots
Solution time: 0.6994919776916504s

Testing 41 Robots
Solution time: 0.6640172004699707s

Testing 42 Robots
Solution time: 0.7165260314941406s

Testing 43 Robots
Solution time: 0.7880041599273682s

Testing 44 Robots
Solution time: 0.8205265998840332s

Testing 45 Robots
Solution time: 0.8310346603393555s

Testing 46 Robots
Solution time: 0.8425173759460449s

Testing 47 Robots
Solution time: 0.9050235748291016s

Testing 48 Robots
Solution time: 0.8755166530609131s

Testing 49 Robots
Solution time: 0.970022439956665s

Testing 50 Robots
Solution time: 0.9550187587738037s

Testing 51 Robots
Solution time: 0.9530189037322998s

Testing 52 Robots
Solution time: 1.0274441242218018s

Testing 53 Robots
Solution time: 1.0529870986938477s

Testing 54 Robots
Solution time: 1.0785183906555176s

Testing 55 Robots
Solution time: 1.0835115909576416s

Testing 56 Robots
Solution time: 1.1625170707702637s

Testing 57 Robots
Solution time: 1.164003849029541s

Testing 58 Robots
Solution time: 1.242018222808838s

Testing 59 Robots
Solution time: 1.215517282485962s

Testing 60 Robots
Solution time: 1.2085039615631104s

Testing 61 Robots
Solution time: 1.2539896965026855s

Testing 62 Robots
Solution time: 1.234518051147461s

Testing 63 Robots
Solution time: 1.3759920597076416s

Testing 64 Robots
Solution time: 1.427016019821167s

Testing 65 Robots
Solution time: 1.3179993629455566s

Testing 66 Robots
Solution time: 1.3269538879394531s

Testing 67 Robots
Solution time: 1.4305129051208496s

Testing 68 Robots
Solution time: 1.4945197105407715s

Testing 69 Robots
Solution time: 1.5460007190704346s

Testing 70 Robots
Solution time: 1.547525405883789s

Testing 71 Robots
