Seed:  7454975448663909758
Testing 1 Robots
Solution time: 0.03394293785095215s

Testing 2 Robots
Solution time: 0.029082059860229492s

Testing 3 Robots
Solution time: 0.03047037124633789s

Testing 4 Robots
Solution time: 0.03265118598937988s

Testing 5 Robots
Solution time: 0.03566598892211914s

Testing 6 Robots
Solution time: 0.039133548736572266s

Testing 7 Robots
Solution time: 0.04839611053466797s

Testing 8 Robots
Solution time: 0.05182170867919922s

Testing 9 Robots
Solution time: 0.056166648864746094s

Testing 10 Robots
Solution time: 0.0608365535736084s

Testing 11 Robots
Solution time: 0.0668790340423584s

Testing 12 Robots
Solution time: 0.06998872756958008s

Testing 13 Robots
Solution time: 0.07219862937927246s

Testing 14 Robots
Solution time: 0.07482218742370605s

Testing 15 Robots
Solution time: 0.07957124710083008s

Testing 16 Robots
Solution time: 0.0836491584777832s

Testing 17 Robots
Solution time: 0.08880853652954102s

Testing 18 Robots
Solution time: 0.09634137153625488s

Testing 19 Robots
Solution time: 0.09807777404785156s

Testing 20 Robots
Solution time: 0.10159087181091309s

Testing 21 Robots
Solution time: 0.1056375503540039s

Testing 22 Robots
Solution time: 0.11348962783813477s

Testing 23 Robots
Solution time: 0.11446762084960938s

Testing 24 Robots
Solution time: 0.1200110912322998s

Testing 25 Robots
Solution time: 0.12212514877319336s

Testing 26 Robots
Solution time: 0.12430620193481445s

Testing 27 Robots
Solution time: 0.13460683822631836s

Testing 28 Robots
Solution time: 0.13098478317260742s

Testing 29 Robots
Solution time: 0.13893651962280273s

Testing 30 Robots
Solution time: 0.14800620079040527s

Testing 31 Robots
Solution time: 0.14871001243591309s

Testing 32 Robots
Solution time: 0.15284252166748047s

Testing 33 Robots
Solution time: 0.15676617622375488s

Testing 34 Robots
Solution time: 0.15584158897399902s

Testing 35 Robots
Solution time: 0.16149497032165527s

Testing 36 Robots
Solution time: 0.17441225051879883s

Testing 37 Robots
Solution time: 0.16785025596618652s

Testing 38 Robots
Solution time: 0.17311668395996094s

Testing 39 Robots
Solution time: 0.18049049377441406s

Testing 40 Robots
Solution time: 0.1835181713104248s

Testing 41 Robots
Solution time: 0.19293999671936035s

Testing 42 Robots
Solution time: 0.19505977630615234s

Testing 43 Robots
Solution time: 0.1974198818206787s

Testing 44 Robots
Solution time: 0.20325875282287598s

Testing 45 Robots
Solution time: 0.2018876075744629s

Testing 46 Robots
Solution time: 0.20861458778381348s

Testing 47 Robots
Solution time: 0.22309422492980957s

Testing 48 Robots
Solution time: 0.2226717472076416s

Testing 49 Robots
Solution time: 0.23356246948242188s

Testing 50 Robots
Solution time: 0.22883963584899902s

Testing 51 Robots
Solution time: 0.23572230339050293s

Testing 52 Robots
Solution time: 0.23775100708007812s

Testing 53 Robots
Solution time: 0.24322128295898438s

Testing 54 Robots
Solution time: 0.24787402153015137s

Testing 55 Robots
Solution time: 0.2525484561920166s

Testing 56 Robots
Solution time: 0.2578165531158447s

Testing 57 Robots
Solution time: 0.2700018882751465s

Testing 58 Robots
Solution time: 0.27627015113830566s

Testing 59 Robots
Solution time: 0.27926111221313477s

Testing 60 Robots
Solution time: 0.28722047805786133s

Testing 61 Robots
Solution time: 0.2907369136810303s

Testing 62 Robots
