Seed:  8313354636731353760
Testing 1 Robots
Solution time: 0.18918919563293457s

Testing 2 Robots
Solution time: 0.20543885231018066s

Testing 3 Robots
Solution time: 0.20722031593322754s

Testing 4 Robots
Solution time: 0.09572768211364746s

Testing 5 Robots
Solution time: 0.11616182327270508s

Testing 6 Robots
Solution time: 1.2736847400665283s

Testing 7 Robots
Solution time: 1.3323533535003662s

Testing 8 Robots
Solution time: 1.5659668445587158s

Testing 9 Robots
Solution time: 0.7113699913024902s

Testing 10 Robots
Solution time: 1.9646639823913574s

Testing 11 Robots
Solution time: 1.949761152267456s

Testing 12 Robots
Solution time: 2.133880615234375s

Testing 13 Robots
Solution time: 2.194314479827881s

Testing 14 Robots
Solution time: 2.55745530128479s

Testing 15 Robots
Solution time: 2.677915334701538s

Testing 16 Robots
Solution time: 3.0051143169403076s

Testing 17 Robots
Solution time: 2.9017691612243652s

Testing 18 Robots
Solution time: 3.1141254901885986s

Testing 19 Robots
Solution time: 3.2381362915039062s

Testing 20 Robots
Solution time: 3.951582670211792s

Testing 21 Robots
Solution time: 4.178059101104736s

Testing 22 Robots
Solution time: 3.9283084869384766s

Testing 23 Robots
Solution time: 4.241989612579346s

Testing 24 Robots
Solution time: 4.102972745895386s

Testing 25 Robots
Solution time: 4.202890634536743s

Testing 26 Robots
Solution time: 23.117623567581177s

Testing 27 Robots
Solution time: 23.57775592803955s

Testing 28 Robots
Solution time: 22.225414514541626s

Testing 29 Robots
Solution time: 37.84502148628235s

Testing 30 Robots
Solution time: 37.622873067855835s

Testing 31 Robots
Solution time: 40.0550422668457s

Testing 32 Robots
Solution time: 133.68670463562012s

Testing 33 Robots
Solution time: 147.69481444358826s

Testing 34 Robots
Timeout
