Seed:  3024835034675614465
Testing 1 Robots
Solution time: 0.29764246940612793s

Testing 2 Robots
Solution time: 0.12870287895202637s

Testing 3 Robots
Solution time: 0.15201115608215332s

Testing 4 Robots
Solution time: 0.23234272003173828s

Testing 5 Robots
Solution time: 0.44930529594421387s

Testing 6 Robots
Solution time: 0.5521812438964844s

Testing 7 Robots
Solution time: 0.6413443088531494s

Testing 8 Robots
Solution time: 0.6989951133728027s

Testing 9 Robots
Solution time: 0.8562502861022949s

Testing 10 Robots
Solution time: 0.9292614459991455s

Testing 11 Robots
Solution time: 1.0109798908233643s

Testing 12 Robots
Solution time: 1.155501365661621s

Testing 13 Robots
Solution time: 2.3384408950805664s

Testing 14 Robots
Solution time: 2.5840864181518555s

Testing 15 Robots
Solution time: 2.807807207107544s

Testing 16 Robots
Solution time: 2.9541068077087402s

Testing 17 Robots
Solution time: 3.1518630981445312s

Testing 18 Robots
Solution time: 3.5290873050689697s

Testing 19 Robots
Solution time: 3.604733467102051s

Testing 20 Robots
Solution time: 3.957509994506836s

Testing 21 Robots
Solution time: 4.0744664669036865s

Testing 22 Robots
Solution time: 4.182357311248779s

Testing 23 Robots
Solution time: 4.569073438644409s

Testing 24 Robots
Solution time: 4.861191511154175s

Testing 25 Robots
Solution time: 4.836308479309082s

Testing 26 Robots
Solution time: 5.105287313461304s

Testing 27 Robots
Solution time: 5.1630823612213135s

Testing 28 Robots
Solution time: 5.498594522476196s

Testing 29 Robots
Solution time: 5.469430685043335s

Testing 30 Robots
Solution time: 5.8292200565338135s

Testing 31 Robots
Solution time: 5.947394847869873s

Testing 32 Robots
Solution time: 6.415959119796753s

Testing 33 Robots
Solution time: 6.586702585220337s

Testing 34 Robots
Solution time: 6.747276544570923s

Testing 35 Robots
Solution time: 7.193298578262329s

Testing 36 Robots
Solution time: 7.211490869522095s

Testing 37 Robots
Solution time: 7.731580495834351s

Testing 38 Robots
Solution time: 7.444803237915039s

Testing 39 Robots
Solution time: 8.25309443473816s

Testing 40 Robots
Solution time: 8.79475212097168s

Testing 41 Robots
Solution time: 8.730766534805298s

Testing 42 Robots
Solution time: 8.544650793075562s

Testing 43 Robots
Solution time: 9.376441717147827s

Testing 44 Robots
Solution time: 8.961398601531982s

Testing 45 Robots
Solution time: 9.760635137557983s

Testing 46 Robots
Solution time: 9.868577718734741s

Testing 47 Robots
Solution time: 11.09366512298584s

Testing 48 Robots
Solution time: 11.663078546524048s

Testing 49 Robots
Solution time: 10.709541320800781s

Testing 50 Robots
Solution time: 10.224637985229492s

Testing 51 Robots
Solution time: 10.713215351104736s

Testing 52 Robots
Solution time: 11.161874771118164s

Testing 53 Robots
Solution time: 10.701472997665405s

Testing 54 Robots
Solution time: 12.025906324386597s

Testing 55 Robots
Solution time: 11.505570888519287s

Testing 56 Robots
Solution time: 11.333384275436401s

Testing 57 Robots
Solution time: 11.629476547241211s

Testing 58 Robots
Solution time: 11.932188749313354s

Testing 59 Robots
Solution time: 11.737773656845093s

Testing 60 Robots
Solution time: 12.135691404342651s

Testing 61 Robots
Solution time: 12.755309343338013s

Testing 62 Robots
Solution time: 13.234903335571289s

Testing 63 Robots
Solution time: 13.705700397491455s

Testing 64 Robots
Solution time: 13.353376388549805s

Testing 65 Robots
Solution time: 12.910213708877563s

Testing 66 Robots
Solution time: 13.419958591461182s

Testing 67 Robots
Solution time: 14.461717128753662s

Testing 68 Robots
Solution time: 14.2935209274292s

Testing 69 Robots
Solution time: 15.131447076797485s

Testing 70 Robots
Solution time: 15.683234930038452s

Testing 71 Robots
Solution time: 14.99643588066101s

Testing 72 Robots
Solution time: 16.47658109664917s

Testing 73 Robots
Solution time: 16.657662630081177s

Testing 74 Robots
Solution time: 16.575541257858276s

Testing 75 Robots
Solution time: 17.341336727142334s

Testing 76 Robots
Timeout
