Seed:  4168389902788247807
Testing 1 Robots
Solution time: 0.4019346237182617s

Testing 2 Robots
Solution time: 0.08748579025268555s

Testing 3 Robots
Solution time: 0.06824755668640137s

Testing 4 Robots
Solution time: 0.21572494506835938s

Testing 5 Robots
Solution time: 0.33489465713500977s

Testing 6 Robots
Solution time: 0.39931273460388184s

Testing 7 Robots
Solution time: 0.8251602649688721s

Testing 8 Robots
Solution time: 0.9416475296020508s

Testing 9 Robots
Solution time: 1.0389540195465088s

Testing 10 Robots
Solution time: 1.120896577835083s

Testing 11 Robots
Solution time: 1.4311041831970215s

Testing 12 Robots
Solution time: 1.4566833972930908s

Testing 13 Robots
Solution time: 1.6271891593933105s

Testing 14 Robots
Solution time: 1.7437589168548584s

Testing 15 Robots
Solution time: 1.9577229022979736s

Testing 16 Robots
Solution time: 2.0544357299804688s

Testing 17 Robots
Solution time: 2.1493489742279053s

Testing 18 Robots
Solution time: 2.236665725708008s

Testing 19 Robots
Solution time: 2.6117632389068604s

Testing 20 Robots
Solution time: 2.7649459838867188s

Testing 21 Robots
Solution time: 2.991973638534546s

Testing 22 Robots
Solution time: 3.126957893371582s

Testing 23 Robots
Solution time: 3.4874753952026367s

Testing 24 Robots
Solution time: 3.4852418899536133s

Testing 25 Robots
Solution time: 3.6682891845703125s

Testing 26 Robots
Solution time: 3.743399143218994s

Testing 27 Robots
Solution time: 3.8806653022766113s

Testing 28 Robots
Solution time: 4.094861745834351s

Testing 29 Robots
Solution time: 4.357394218444824s

Testing 30 Robots
Solution time: 4.620714902877808s

Testing 31 Robots
Solution time: 4.585988283157349s

Testing 32 Robots
Solution time: 4.6713361740112305s

Testing 33 Robots
Solution time: 4.765414237976074s

Testing 34 Robots
Solution time: 4.963030099868774s

Testing 35 Robots
Solution time: 5.108989238739014s

Testing 36 Robots
Solution time: 5.255013465881348s

Testing 37 Robots
Solution time: 5.4771459102630615s

Testing 38 Robots
Solution time: 5.575549125671387s

Testing 39 Robots
Solution time: 6.083621263504028s

Testing 40 Robots
Solution time: 6.130331754684448s

Testing 41 Robots
Solution time: 6.289127826690674s

Testing 42 Robots
Solution time: 6.798778057098389s

Testing 43 Robots
Solution time: 7.524709224700928s

Testing 44 Robots
Solution time: 7.859056234359741s

Testing 45 Robots
Solution time: 7.559161901473999s

Testing 46 Robots
Solution time: 8.188092947006226s

Testing 47 Robots
Solution time: 8.437026023864746s

Testing 48 Robots
Solution time: 8.499656200408936s

Testing 49 Robots
Solution time: 8.893726348876953s

Testing 50 Robots
Solution time: 8.609324932098389s

Testing 51 Robots
Solution time: 9.715071439743042s

Testing 52 Robots
Solution time: 8.630310535430908s

Testing 53 Robots
Solution time: 9.77665376663208s

Testing 54 Robots
Solution time: 9.375808715820312s

Testing 55 Robots
Solution time: 9.536675453186035s

Testing 56 Robots
Solution time: 10.169219732284546s

Testing 57 Robots
Solution time: 10.225957155227661s

Testing 58 Robots
Solution time: 9.99112582206726s

Testing 59 Robots
Solution time: 10.133137941360474s

Testing 60 Robots
Solution time: 10.55960750579834s

Testing 61 Robots
Solution time: 10.584254026412964s

Testing 62 Robots
Solution time: 10.736470699310303s

Testing 63 Robots
Solution time: 11.08390498161316s

Testing 64 Robots
Solution time: 11.406020641326904s

Testing 65 Robots
Solution time: 11.256839275360107s

Testing 66 Robots
Solution time: 11.265534162521362s

Testing 67 Robots
Solution time: 12.012126207351685s

Testing 68 Robots
Solution time: 11.594508647918701s

Testing 69 Robots
Solution time: 12.21851634979248s

Testing 70 Robots
Solution time: 12.260921478271484s

Testing 71 Robots
Solution time: 11.99933671951294s

Testing 72 Robots
Solution time: 12.622500658035278s

Testing 73 Robots
Solution time: 12.423319578170776s

Testing 74 Robots
Solution time: 13.285544395446777s

Testing 75 Robots
Solution time: 12.45702314376831s

Testing 76 Robots
Solution time: 13.552223205566406s

Testing 77 Robots
Solution time: 12.964204788208008s

Testing 78 Robots
Solution time: 13.685283660888672s

Testing 79 Robots
Solution time: 13.771872758865356s

Testing 80 Robots
Solution time: 13.723501205444336s

Testing 81 Robots
Solution time: 13.65556812286377s

Testing 82 Robots
Solution time: 15.657692432403564s

Testing 83 Robots
Solution time: 15.738149166107178s

Testing 84 Robots
Solution time: 14.476868629455566s

Testing 85 Robots
Timeout
