Seed:  3204950796784086406
Testing 1 Robots
Solution time: 0.1244344711303711s

Testing 2 Robots
Solution time: 0.17316985130310059s

Testing 3 Robots
Solution time: 0.2819790840148926s

Testing 4 Robots
Solution time: 0.38467979431152344s

Testing 5 Robots
Solution time: 0.48854970932006836s

Testing 6 Robots
Solution time: 0.5605170726776123s

Testing 7 Robots
Solution time: 0.7295846939086914s

Testing 8 Robots
Solution time: 0.786614179611206s

Testing 9 Robots
Solution time: 0.9156708717346191s

Testing 10 Robots
Solution time: 1.1630699634552002s

Testing 11 Robots
Solution time: 1.3114006519317627s

Testing 12 Robots
Solution time: 1.542994737625122s

Testing 13 Robots
Solution time: 1.684488296508789s

Testing 14 Robots
Solution time: 1.7563426494598389s

Testing 15 Robots
Solution time: 1.9570252895355225s

Testing 16 Robots
Solution time: 2.30991792678833s

Testing 17 Robots
Solution time: 2.4750750064849854s

Testing 18 Robots
Solution time: 2.684654474258423s

Testing 19 Robots
Solution time: 2.7588086128234863s

Testing 20 Robots
Solution time: 2.987422227859497s

Testing 21 Robots
Solution time: 3.1577494144439697s

Testing 22 Robots
Solution time: 3.6111316680908203s

Testing 23 Robots
Solution time: 3.7246880531311035s

Testing 24 Robots
Solution time: 3.880706548690796s

Testing 25 Robots
Solution time: 4.148052215576172s

Testing 26 Robots
Solution time: 4.37008810043335s

Testing 27 Robots
Solution time: 4.535706996917725s

Testing 28 Robots
Solution time: 4.513447046279907s

Testing 29 Robots
Solution time: 4.677823066711426s

Testing 30 Robots
Solution time: 4.792904615402222s

Testing 31 Robots
Solution time: 5.129957437515259s

Testing 32 Robots
Solution time: 5.328256607055664s

Testing 33 Robots
Solution time: 5.220830202102661s

Testing 34 Robots
Solution time: 5.504897117614746s

Testing 35 Robots
Solution time: 5.740605115890503s

Testing 36 Robots
Solution time: 5.966214179992676s

Testing 37 Robots
Solution time: 6.447256088256836s

Testing 38 Robots
Solution time: 6.388764381408691s

Testing 39 Robots
Solution time: 6.758180856704712s

Testing 40 Robots
Solution time: 7.1246864795684814s

Testing 41 Robots
Solution time: 6.988691806793213s

Testing 42 Robots
Solution time: 7.609292507171631s

Testing 43 Robots
Solution time: 7.622957944869995s

Testing 44 Robots
Solution time: 7.276921987533569s

Testing 45 Robots
Solution time: 8.0792875289917s

Testing 46 Robots
Solution time: 7.869598388671875s

Testing 47 Robots
Solution time: 8.36803936958313s

Testing 48 Robots
Solution time: 8.592470407485962s

Testing 49 Robots
Solution time: 8.516156673431396s

Testing 50 Robots
Solution time: 8.941123962402344s

Testing 51 Robots
Solution time: 9.500045776367188s

Testing 52 Robots
Solution time: 8.816892623901367s

Testing 53 Robots
Solution time: 8.86587929725647s

Testing 54 Robots
Solution time: 9.361007452011108s

Testing 55 Robots
Solution time: 10.174205780029297s

Testing 56 Robots
Solution time: 10.042179822921753s

Testing 57 Robots
Solution time: 9.831560611724854s

Testing 58 Robots
Solution time: 10.578209161758423s

Testing 59 Robots
Solution time: 11.202834367752075s

Testing 60 Robots
Solution time: 10.747508764266968s

Testing 61 Robots
Solution time: 11.077616691589355s

Testing 62 Robots
Solution time: 10.774667024612427s

Testing 63 Robots
Solution time: 10.756151914596558s

Testing 64 Robots
Solution time: 11.3185133934021s

Testing 65 Robots
Solution time: 12.203099250793457s

Testing 66 Robots
Solution time: 12.04148006439209s

Testing 67 Robots
Solution time: 11.182936191558838s

Testing 68 Robots
Solution time: 11.648872137069702s

Testing 69 Robots
Solution time: 11.633886575698853s

Testing 70 Robots
Solution time: 11.746646165847778s

Testing 71 Robots
Solution time: 13.073021411895752s

Testing 72 Robots
Solution time: 12.71016550064087s

Testing 73 Robots
Solution time: 12.743864059448242s

Testing 74 Robots
Solution time: 12.601325035095215s

Testing 75 Robots
Solution time: 13.137110233306885s

Testing 76 Robots
Solution time: 13.586637735366821s

Testing 77 Robots
Solution time: 13.152801513671875s

Testing 78 Robots
Solution time: 13.516607761383057s

Testing 79 Robots
Solution time: 13.405057668685913s

Testing 80 Robots
Solution time: 13.525866508483887s

Testing 81 Robots
Solution time: 13.720218420028687s

Testing 82 Robots
Solution time: 14.794930934906006s

Testing 83 Robots
Solution time: 16.515769720077515s

Testing 84 Robots
Timeout
