Seed:  5588775064475866548
Testing 1 Robots
Solution time: 0.27150511741638184s

Testing 2 Robots
Solution time: 0.2250964641571045s

Testing 3 Robots
Solution time: 2.147256374359131s

Testing 4 Robots
Solution time: 2.797642469406128s

Testing 5 Robots
Solution time: 3.126535177230835s

Testing 6 Robots
Solution time: 3.9855763912200928s

Testing 7 Robots
Solution time: 4.309455633163452s

Testing 8 Robots
Solution time: 7.695987701416016s

Testing 9 Robots
Solution time: 8.732328176498413s

Testing 10 Robots
Solution time: 9.861368894577026s

Testing 11 Robots
Solution time: 10.896268129348755s

Testing 12 Robots
Solution time: 14.847194194793701s

Testing 13 Robots
Solution time: 16.092682600021362s

Testing 14 Robots
Solution time: 17.48834252357483s

Testing 15 Robots
Solution time: 18.877042055130005s

Testing 16 Robots
Solution time: 20.174833059310913s

Testing 17 Robots
Solution time: 21.500369548797607s

Testing 18 Robots
Solution time: 22.756861925125122s

Testing 19 Robots
Solution time: 24.185260772705078s

Testing 20 Robots
Solution time: 25.133474588394165s

Testing 21 Robots
Solution time: 26.385879039764404s

Testing 22 Robots
Solution time: 27.845322370529175s

Testing 23 Robots
Solution time: 29.266347646713257s

Testing 24 Robots
Solution time: 30.145570993423462s

Testing 25 Robots
Solution time: 31.316000938415527s

Testing 26 Robots
Solution time: 33.62760353088379s

Testing 27 Robots
Solution time: 35.574424266815186s

Testing 28 Robots
Solution time: 36.18690848350525s

Testing 29 Robots
Solution time: 38.010154724121094s

Testing 30 Robots
Solution time: 39.04034662246704s

Testing 31 Robots
Timeout
