Seed:  5543615008801415811
Solution time: 4.639500617980957s

Testing 121 Robots
Solution time: 4.493001461029053s

Testing 122 Robots
Solution time: 4.186998128890991s

Testing 123 Robots
Solution time: 4.576016426086426s

Testing 124 Robots
Solution time: 4.468002557754517s

Testing 125 Robots
Solution time: 5.0369977951049805s

Testing 126 Robots
Solution time: 4.4695165157318115s

Testing 127 Robots
Solution time: 5.114524841308594s

Testing 128 Robots
Solution time: 5.246001720428467s

Testing 129 Robots
Solution time: 5.152523517608643s

Testing 130 Robots
Solution time: 4.141519546508789s

Testing 131 Robots
Solution time: 4.631005525588989s

Testing 132 Robots
Solution time: 5.040505886077881s

Testing 133 Robots
Solution time: 5.347517967224121s

Testing 134 Robots
Solution time: 4.295995712280273s

Testing 135 Robots
Solution time: 5.126974821090698s

Testing 136 Robots
Solution time: 5.52851939201355s

Testing 137 Robots
Solution time: 5.257022857666016s

Testing 138 Robots
Solution time: 5.45649266242981s

Testing 139 Robots
Solution time: 4.960525274276733s

Testing 140 Robots
Solution time: 5.38149619102478s

Testing 141 Robots
Solution time: 5.715468168258667s

Testing 142 Robots
Solution time: 5.4869818687438965s

Testing 143 Robots
Solution time: 5.485004186630249s

Testing 144 Robots
Solution time: 5.802520751953125s

Testing 145 Robots
Solution time: 6.08101749420166s

Testing 146 Robots
Solution time: 5.875525236129761s

Testing 147 Robots
Solution time: 5.944502353668213s

Testing 148 Robots
Solution time: 6.195473909378052s

Testing 149 Robots
Solution time: 6.498514890670776s

Testing 150 Robots
Solution time: 6.0634801387786865s

Testing 151 Robots
Solution time: 5.826552391052246s

Testing 152 Robots
Solution time: 5.530499219894409s

Testing 153 Robots
Solution time: 6.59947657585144s

Testing 154 Robots
Solution time: 6.42349648475647s

Testing 155 Robots
Solution time: 6.50302791595459s

Testing 156 Robots
Solution time: 6.233025074005127s

Testing 157 Robots
Solution time: 6.563504219055176s

Testing 158 Robots
Solution time: 6.8230140209198s

Testing 159 Robots
Solution time: 6.469477891921997s

Testing 160 Robots
Solution time: 6.7145256996154785s

Testing 161 Robots
Solution time: 6.558987379074097s

Testing 162 Robots
Solution time: 6.186018943786621s

Testing 163 Robots
Solution time: 6.903024435043335s

Testing 164 Robots
Solution time: 6.789495468139648s

Testing 165 Robots
Solution time: 5.9545042514801025s

Testing 166 Robots
Solution time: 6.783471345901489s

Testing 167 Robots
Solution time: 6.917023420333862s

Testing 168 Robots
Solution time: 7.336006164550781s

Testing 169 Robots
Solution time: 7.435000896453857s

Testing 170 Robots
Solution time: 8.61500358581543s

Testing 171 Robots
Solution time: 7.18649959564209s

Testing 172 Robots
Solution time: 7.377979516983032s

Testing 173 Robots
Solution time: 7.034528732299805s

Testing 174 Robots
Solution time: 7.702001333236694s

Testing 175 Robots
Solution time: 6.991009950637817s

Testing 176 Robots
Solution time: 7.581502437591553s

Testing 177 Robots
Solution time: 7.41753077507019s

Testing 178 Robots
Solution time: 7.263022184371948s

Testing 179 Robots
Solution time: 7.816499710083008s

Testing 180 Robots
Timeout
