Seed:  7239827197803978543
Solution time: 10.825121879577637s

Testing 122 Robots
Solution time: 10.138339757919312s

Testing 123 Robots
Solution time: 10.902421236038208s

Testing 124 Robots
Solution time: 9.860912799835205s

Testing 125 Robots
Solution time: 9.950912475585938s

Testing 126 Robots
Solution time: 11.438013553619385s

Testing 127 Robots
Solution time: 11.160330533981323s

Testing 128 Robots
Timeout
