Seed:  6768553307461178986
Testing 1 Robots
Solution time: 0.08321857452392578s

Testing 2 Robots
Solution time: 0.15385198593139648s

Testing 3 Robots
Solution time: 0.6130452156066895s

Testing 4 Robots
Solution time: 0.9960060119628906s

Testing 5 Robots
Solution time: 2.1203222274780273s

Testing 6 Robots
Solution time: 2.7804741859436035s

Testing 7 Robots
Solution time: 3.339799642562866s

Testing 8 Robots
Solution time: 3.8378407955169678s

Testing 9 Robots
Solution time: 6.146217584609985s

Testing 10 Robots
Solution time: 6.406726598739624s

Testing 11 Robots
Solution time: 8.55289912223816s

Testing 12 Robots
Solution time: 8.254374742507935s

Testing 13 Robots
Solution time: 11.53983759880066s

Testing 14 Robots
Solution time: 12.067776679992676s

Testing 15 Robots
Solution time: 13.06481409072876s

Testing 16 Robots
Solution time: 17.049508810043335s

Testing 17 Robots
Solution time: 14.838246583938599s

Testing 18 Robots
Solution time: 16.703824758529663s

Testing 19 Robots
Solution time: 15.695945501327515s

Testing 20 Robots
Solution time: 17.811016082763672s

Testing 21 Robots
Solution time: 21.28334403038025s

Testing 22 Robots
Solution time: 24.20885181427002s

Testing 23 Robots
Solution time: 26.54302978515625s

Testing 24 Robots
Solution time: 22.842151403427124s

Testing 25 Robots
Solution time: 25.58776044845581s

Testing 26 Robots
Solution time: 31.84755825996399s

Testing 27 Robots
Solution time: 27.158488273620605s

Testing 28 Robots
Solution time: 37.40607523918152s

Testing 29 Robots
Solution time: 41.63366627693176s

Testing 30 Robots
Solution time: 36.640751361846924s

Testing 31 Robots
Solution time: 50.234447956085205s

Testing 32 Robots
Solution time: 37.89975690841675s

Testing 33 Robots
Solution time: 50.996103048324585s

Testing 34 Robots
Timeout
