Seed:  5433085052100529533
Testing 1 Robots
Solution time: 0.07618308067321777s

Testing 2 Robots
Solution time: 0.07733154296875s

Testing 3 Robots
Solution time: 0.17298221588134766s

Testing 4 Robots
Solution time: 0.36099839210510254s

Testing 5 Robots
Solution time: 0.6683807373046875s

Testing 6 Robots
Solution time: 0.8276607990264893s

Testing 7 Robots
Solution time: 1.0064830780029297s

Testing 8 Robots
Solution time: 3.5059638023376465s

Testing 9 Robots
Solution time: 3.9830923080444336s

Testing 10 Robots
Solution time: 4.910364151000977s

Testing 11 Robots
Solution time: 5.214568614959717s

Testing 12 Robots
Solution time: 6.0031421184539795s

Testing 13 Robots
Solution time: 7.248492956161499s

Testing 14 Robots
Solution time: 7.037753105163574s

Testing 15 Robots
Solution time: 7.911327600479126s

Testing 16 Robots
Solution time: 8.510635137557983s

Testing 17 Robots
Solution time: 9.142406940460205s

Testing 18 Robots
Solution time: 10.955605506896973s

Testing 19 Robots
Solution time: 11.385414123535156s

Testing 20 Robots
Solution time: 10.891233205795288s

Testing 21 Robots
Solution time: 11.940866231918335s

Testing 22 Robots
Solution time: 12.140419244766235s

Testing 23 Robots
Solution time: 16.781678438186646s

Testing 24 Robots
Solution time: 20.700261116027832s

Testing 25 Robots
Solution time: 18.887989044189453s

Testing 26 Robots
Solution time: 19.369778633117676s

Testing 27 Robots
Solution time: 19.68789529800415s

Testing 28 Robots
Solution time: 22.908313751220703s

Testing 29 Robots
Solution time: 26.745890617370605s

Testing 30 Robots
Solution time: 27.35229468345642s

Testing 31 Robots
Solution time: 23.610593795776367s

Testing 32 Robots
Solution time: 24.850430011749268s

Testing 33 Robots
Solution time: 27.552249431610107s

Testing 34 Robots
Solution time: 29.75669550895691s

Testing 35 Robots
Solution time: 35.28365159034729s

Testing 36 Robots
Solution time: 39.097442388534546s

Testing 37 Robots
Solution time: 30.423871755599976s

Testing 38 Robots
Solution time: 38.16218686103821s

Testing 39 Robots
Solution time: 30.062581062316895s

Testing 40 Robots
Timeout
