Seed:  5859910846556249309
Testing 1 Robots
Solution time: 0.023839712142944336s

Testing 2 Robots
Solution time: 0.04235506057739258s

Testing 3 Robots
Solution time: 0.1409604549407959s

Testing 4 Robots
Solution time: 0.11173510551452637s

Testing 5 Robots
Solution time: 0.11727023124694824s

Testing 6 Robots
Solution time: 0.11947917938232422s

Testing 7 Robots
Solution time: 0.14011240005493164s

Testing 8 Robots
Solution time: 0.13823890686035156s

Testing 9 Robots
Solution time: 0.12919092178344727s

Testing 10 Robots
Solution time: 0.15219974517822266s

Testing 11 Robots
Solution time: 0.16442036628723145s

Testing 12 Robots
Solution time: 0.17157363891601562s

Testing 13 Robots
Solution time: 0.20815110206604004s

Testing 14 Robots
Solution time: 0.19908928871154785s

Testing 15 Robots
Solution time: 0.3535432815551758s

Testing 16 Robots
Solution time: 0.466641902923584s

Testing 17 Robots
Solution time: 0.7766790390014648s

Testing 18 Robots
Solution time: 1.0272340774536133s

Testing 19 Robots
Solution time: 0.8346903324127197s

Testing 20 Robots
Solution time: 0.6908764839172363s

Testing 21 Robots
Solution time: 0.6548492908477783s

Testing 22 Robots
Solution time: 0.8419244289398193s

Testing 23 Robots
Solution time: 0.7366280555725098s

Testing 24 Robots
Solution time: 0.8756954669952393s

Testing 25 Robots
Solution time: 0.9557194709777832s

Testing 26 Robots
Solution time: 1.0128931999206543s

Testing 27 Robots
Solution time: 1.0066070556640625s

Testing 28 Robots
Solution time: 2.0852584838867188s

Testing 29 Robots
Solution time: 2.215040683746338s

Testing 30 Robots
Solution time: 2.2380967140197754s

Testing 31 Robots
Solution time: 2.5480563640594482s

Testing 32 Robots
Solution time: 2.5933656692504883s

Testing 33 Robots
Solution time: 2.7219302654266357s

Testing 34 Robots
Solution time: 3.063197612762451s

Testing 35 Robots
Solution time: 2.9579885005950928s

Testing 36 Robots
Solution time: 3.1964476108551025s

Testing 37 Robots
Solution time: 3.452986001968384s

Testing 38 Robots
Solution time: 3.5542781352996826s

Testing 39 Robots
Solution time: 3.6103241443634033s

Testing 40 Robots
Solution time: 3.8283932209014893s

Testing 41 Robots
Solution time: 3.7268190383911133s

Testing 42 Robots
Solution time: 3.890073299407959s

Testing 43 Robots
Solution time: 4.007430791854858s

Testing 44 Robots
Solution time: 4.178254127502441s

Testing 45 Robots
Solution time: 4.327712297439575s

Testing 46 Robots
Solution time: 4.500481843948364s

Testing 47 Robots
Solution time: 4.401103496551514s

