Seed:  8267899151881001965
Testing 1 Robots
Solution time: 0.33590054512023926s

Testing 2 Robots
Solution time: 0.060982465744018555s

Testing 3 Robots
Solution time: 0.07555723190307617s

Testing 4 Robots
Solution time: 0.09158039093017578s

Testing 5 Robots
Solution time: 0.10294103622436523s

Testing 6 Robots
Solution time: 0.12436199188232422s

Testing 7 Robots
Solution time: 0.14067506790161133s

Testing 8 Robots
Solution time: 0.16430926322937012s

Testing 9 Robots
Solution time: 0.19153642654418945s

Testing 10 Robots
Solution time: 0.1889650821685791s

Testing 11 Robots
Solution time: 0.23019838333129883s

Testing 12 Robots
Solution time: 0.5006527900695801s

Testing 13 Robots
Solution time: 0.5190582275390625s

Testing 14 Robots
Solution time: 0.5638930797576904s

Testing 15 Robots
Solution time: 0.8578035831451416s

Testing 16 Robots
Solution time: 0.6843252182006836s

Testing 17 Robots
Solution time: 0.9527163505554199s

Testing 18 Robots
Solution time: 0.43814802169799805s

Testing 19 Robots
Solution time: 0.4451885223388672s

Testing 20 Robots
Solution time: 0.47409963607788086s

Testing 21 Robots
Solution time: 0.5353636741638184s

Testing 22 Robots
Solution time: 0.5677480697631836s

Testing 23 Robots
Solution time: 0.6885602474212646s

Testing 24 Robots
Solution time: 0.8072772026062012s

Testing 25 Robots
Solution time: 1.0174624919891357s

Testing 26 Robots
Solution time: 1.049198865890503s

Testing 27 Robots
Solution time: 2.0511415004730225s

Testing 28 Robots
Solution time: 2.0856406688690186s

Testing 29 Robots
Solution time: 2.4068148136138916s

Testing 30 Robots
Solution time: 1.6722173690795898s

Testing 31 Robots
Solution time: 1.547006368637085s

Testing 32 Robots
Solution time: 1.601180076599121s

Testing 33 Robots
Solution time: 1.680664300918579s

Testing 34 Robots
Solution time: 1.9281749725341797s

Testing 35 Robots
Solution time: 1.7575550079345703s

Testing 36 Robots
Solution time: 1.9851157665252686s

Testing 37 Robots
Solution time: 2.0293893814086914s

Testing 38 Robots
Solution time: 2.2341201305389404s

Testing 39 Robots
Solution time: 2.055173397064209s

Testing 40 Robots
Solution time: 2.0753421783447266s

Testing 41 Robots
Solution time: 2.215432643890381s

Testing 42 Robots
Solution time: 2.225341796875s

Testing 43 Robots
Solution time: 2.3025875091552734s

Testing 44 Robots
Solution time: 3.192051649093628s

Testing 45 Robots
Solution time: 2.791968584060669s

Testing 46 Robots
Solution time: 3.226599931716919s

Testing 47 Robots
Solution time: 2.814873456954956s

Testing 48 Robots
Solution time: 2.8254711627960205s

Testing 49 Robots
Solution time: 3.3912832736968994s

Testing 50 Robots
Solution time: 3.1170740127563477s

Testing 51 Robots
Solution time: 3.1158289909362793s

Testing 52 Robots
Solution time: 3.782231569290161s

Testing 53 Robots
Solution time: 4.031495094299316s

Testing 54 Robots
Solution time: 3.7999541759490967s

Testing 55 Robots
Solution time: 3.7273313999176025s

Testing 56 Robots
Solution time: 3.950437068939209s

Testing 57 Robots
Solution time: 4.329892635345459s

Testing 58 Robots
Solution time: 4.211166620254517s

Testing 59 Robots
Solution time: 4.579345941543579s

Testing 60 Robots
Solution time: 4.590622663497925s

Testing 61 Robots
Solution time: 4.396615743637085s

Testing 62 Robots
Solution time: 4.402115106582642s

Testing 63 Robots
Solution time: 4.5748374462127686s

Testing 64 Robots
Solution time: 4.808837890625s

Testing 65 Robots
Solution time: 4.693645000457764s

Testing 66 Robots
Solution time: 4.989774942398071s

Testing 67 Robots
Solution time: 4.694381237030029s

Testing 68 Robots
Solution time: 4.99519419670105s

Testing 69 Robots
Solution time: 4.939739465713501s

Testing 70 Robots
Solution time: 5.56102442741394s

Testing 71 Robots
Solution time: 5.157599210739136s

