Seed:  5154555718104435911
Testing 1 Robots
Solution time: 1.3660495281219482s

Testing 2 Robots
Solution time: 2.1178574562072754s

Testing 3 Robots
Solution time: 2.7781624794006348s

Testing 4 Robots
Solution time: 3.4063236713409424s

Testing 5 Robots
Solution time: 4.5466673374176025s

Testing 6 Robots
Solution time: 5.569076299667358s

Testing 7 Robots
Solution time: 6.21831488609314s

Testing 8 Robots
Solution time: 6.811306953430176s

Testing 9 Robots
Solution time: 8.284340143203735s

Testing 10 Robots
Solution time: 9.711690664291382s

Testing 11 Robots
Solution time: 10.739766597747803s

Testing 12 Robots
Solution time: 11.649727821350098s

Testing 13 Robots
Solution time: 12.561614751815796s

Testing 14 Robots
Solution time: 13.5652756690979s

Testing 15 Robots
Solution time: 14.624011516571045s

Testing 16 Robots
Solution time: 15.544374704360962s

Testing 17 Robots
Solution time: 16.598038911819458s

Testing 18 Robots
Solution time: 17.615087747573853s

Testing 19 Robots
Solution time: 19.05369281768799s

Testing 20 Robots
Solution time: 20.001691818237305s

Testing 21 Robots
Solution time: 21.361474990844727s

Testing 22 Robots
Solution time: 22.44282293319702s

Testing 23 Robots
Solution time: 23.57013249397278s

Testing 24 Robots
Solution time: 24.416710376739502s

Testing 25 Robots
Solution time: 25.904019355773926s

Testing 26 Robots
Solution time: 26.696314573287964s

Testing 27 Robots
Solution time: 27.733838319778442s

Testing 28 Robots
Solution time: 28.95925235748291s

Testing 29 Robots
Solution time: 29.667897939682007s

Testing 30 Robots
Solution time: 30.53917670249939s

Testing 31 Robots
Solution time: 31.670822858810425s

Testing 32 Robots
Solution time: 32.64833378791809s

Testing 33 Robots
Solution time: 35.88538646697998s

Testing 34 Robots
Timeout
